# Creator : Routino - http://www.routino.org/
# Source : Based on OpenStreetMap data from http://www.openstreetmap.org/
# License : http://www.openstreetmap.org/copyright
#
#Latitude	Longitude	Section 	Section 	Total   	Total   	Point	Turn	Bearing	Highway
#        	         	Distance	Duration	Distance	Duration	Type 	    	       	       
 48.201370	  16.374050	 0.004 km	 0.0 min	  4.1 km	  12 min	Junct	 +0	 +3	(null)
 48.200208	  16.374731	 0.137 km	 0.4 min	  4.3 km	  13 min	Junct	 +0	 -4	(null)
 48.200170	  16.374752	 0.004 km	 0.0 min	  4.3 km	  13 min	Junct	 +0	 -4	(null)
 48.199938	  16.374882	 0.027 km	 0.1 min	  4.3 km	  13 min	Junct	 +0	 -4	(null)
 48.199853	  16.374922	 0.009 km	 0.0 min	  4.3 km	  13 min	Junct	 -1	 +1	(null)
 48.199883	  16.375018	 0.007 km	 0.0 min	  4.3 km	  13 min	Junct	 +0	 +2	(null)
 48.199983	  16.375438	 0.032 km	 0.1 min	  4.3 km	  13 min	Junct	 +0	 +2	(null)
 48.200000	  16.375531	 0.007 km	 0.0 min	  4.4 km	  13 min	Junct	 +2	 +3	(null)
 48.199350	  16.376283	 0.098 km	 0.3 min	  4.5 km	  13 min	Junct	 +0	 +3	(null)
 48.199306	  16.376339	 0.006 km	 0.0 min	  4.5 km	  13 min	Junct	 +0	 +3	(null)
 48.199267	  16.376368	 0.004 km	 0.0 min	  4.5 km	  13 min	Junct	 +0	 +3	(null)
 48.198886	  16.376846	 0.055 km	 0.2 min	  4.5 km	  13 min	Junct	 -1	 +1	(null)
 48.198938	  16.377019	 0.013 km	 0.0 min	  4.5 km	  14 min	Waypt#2			
